"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"AlexisHaney334","University of Central Missouri | If you can't remember it, it didn't happen. |",891,261,1737,541,NA,"Lexi",2012-03-24 20:33:00,FALSE,FALSE,"AlexisHaney334","Kearney, Mo","en","535769715",2,FALSE,"http://pbs.twimg.com/profile_images/998612081325654016/AwmOkycp_normal.jpg"
"RangerWife2275","Army Ranger Veteran Wife, Stay at Home Mom, Living in Small Town USA, Eastern WA Cowgirl, Proud American, Trump Supporter",638,221,3996,396,NA,"RangerWife2275",2018-01-22 14:15:08,FALSE,FALSE,"RangerWife2275","Eastern Washington, USA","en","955443717770420224",0,FALSE,"http://pbs.twimg.com/profile_images/1057696084149977088/i-WUmfiA_normal.jpg"
"owen_j_ache2","",736,33,2590,43,NA,"<U+30AA><U+30A6><U+30A8><U+30F3>",2018-12-07 16:10:33,FALSE,FALSE,"owen_j_ache","Bronx, NY","en","1071074493999792128",0,FALSE,"http://pbs.twimg.com/profile_images/1096201401049456651/_m40rhVl_normal.jpg"
"Lilskrt4k","",36739,1791,12820,460,"https://t.co/PowK5Hy586","Lilskrt4k",2012-03-08 23:19:44,FALSE,FALSE,"Lilskrt4k","Elizabeth, NJ","en","518980572",21,FALSE,"http://pbs.twimg.com/profile_images/1073039407240937473/wrNjOag9_normal.jpg"
"adxmdriver","•19•",88661,8216,6483,3159,"https://t.co/EZ7jNN2MLk","• bitches • broken • hearts •",2011-08-09 19:02:08,FALSE,FALSE,"adxmdriver","canada","en-gb","351796478",22,FALSE,"http://pbs.twimg.com/profile_images/1101511255838216192/OFwtC3yU_normal.jpg"
"OldTimeyPhone","It is certain in any case that ignorance,allied with power,is the most ferocious enemy justice can have -J.Baldwin IG:jessicaursidae spotify:drprincessninja",591,29,2662,325,NA,"The Alternate Reality",2015-09-09 19:28:52,FALSE,FALSE,"OldTimeyPhone","Kansas City, MO","en","3507484093",0,FALSE,"http://pbs.twimg.com/profile_images/1079498767274070016/FxER_T31_normal.jpg"
"princeothestars","kirby/will <U+2606>
I'm gay <U+2606>
sometimes I'll write a thing<U+2606> Header by @ad43l",2943,40,6833,181,NA,"Chemicals that turn the frogs gay <U+2604>",2017-12-06 06:56:31,FALSE,FALSE,"princeothestars","Colorado Springs, CO","en","938301107784310784",1,FALSE,"http://pbs.twimg.com/profile_images/1093774191915020288/HFM0iZzM_normal.jpg"
"KieferIan","Independent Artist | Booking: KieferIanMGMT@gmail.com",46844,1184,31300,806,"https://t.co/n7fnqpBRub","KIEFER IAN",2011-11-15 02:55:24,FALSE,FALSE,"KieferIan","Indianapolis, IN","en","412749305",21,FALSE,"http://pbs.twimg.com/profile_images/1100640235032137728/P8jzYkPC_normal.jpg"
"MadDogLane1984","I am a mother of two, and living the geek life. I swear sometimes. I care about people always. #snuggles4struggles",13805,933,39865,529,"https://t.co/l8GDS3q2QQ","Todd",2011-10-29 08:18:25,FALSE,FALSE,"MadDogLane1984","United States","en","400586237",31,FALSE,"http://pbs.twimg.com/profile_images/1102037613077319680/dkD3waxa_normal.jpg"
"KingVinox","Just your average everyday 15 year old weeb just doin his thing.",1607,96,3366,136,"https://t.co/MRnf9qMMJN","TotallyNotVinox",2016-10-07 21:12:53,FALSE,FALSE,"KingVinox","The limbo","en","784501777773240320",0,FALSE,"http://pbs.twimg.com/profile_images/1100196958004826115/zXy4qQRU_normal.png"
"cathydiamonds","<U+0001F91D>",28621,247,50698,276,NA,"cathy<U+0001F6AF>",2014-04-07 23:26:48,FALSE,FALSE,"cathydiamonds","Miami, FL","en","2432716608",8,FALSE,"http://pbs.twimg.com/profile_images/1080922916441722883/GRy1FvPT_normal.jpg"
"AutismSite","Fewer than 1 in 5 dxd Asperger's adults live independently. Check out these books full of strategies https://t.co/1qLyovtpyV",15691,2582,7650,4138,"https://t.co/3zMU1rFK3I","Sharon A. Mitchell",2009-08-13 15:36:25,FALSE,FALSE,"AutismSite","Canada","en","65390151",45,FALSE,"http://pbs.twimg.com/profile_images/812702034835095552/qCqYbISZ_normal.jpg"
"papermoonxx","what happens when children get together? they fight",11274,391,5351,320,NA,"B.R.A.T",2012-03-01 21:35:41,FALSE,FALSE,"papermoonxx","Miami, FL","en","510890196",2,FALSE,"http://pbs.twimg.com/profile_images/1103165813182353410/SbUY9SaK_normal.jpg"
"BearyHaney","<U+0001F48D> <U+0001F495>Future Mrs. Farina <U+0001F495><U+0001F48D>Here for memes, terrible puns and conspiracy <U+0001F61C> What do you call an apology written in dots and dashes? Remorse code.",28180,4018,53707,4024,NA,"<U+0001F1E9><U+0001F1EA><U+2764>CriTTerMeTimbers<U+2764><U+0001F1E9><U+0001F1EA>",2018-03-19 22:33:47,FALSE,FALSE,"BearyHaney","Central New York","en","975862927348649987",10,FALSE,"http://pbs.twimg.com/profile_images/1087489451822063617/T-r5XceB_normal.jpg"
"Evldoa","hey there Im a Kiwi content creator over on https://t.co/G4fBfNEAzV",2240,420,1229,392,NA,"Evldoa",2017-09-28 23:45:30,FALSE,FALSE,"Evldoa","New Zealand","en","913550264409276416",0,FALSE,"http://pbs.twimg.com/profile_images/1067922986672353280/qglHOAnv_normal.jpg"
"Broccckoli","MSU. KS. Pre-Law & Politics Society. Melvin Gordon is cooler than Buddha. Extreme advocate of cinnamon scented pine cones.",10958,830,16745,596,"https://t.co/KhUPhvx5mn","Big Papa",2015-10-28 04:03:51,FALSE,FALSE,"Broccckoli","Louisiana, USA","en","4042492032",7,FALSE,"http://pbs.twimg.com/profile_images/976887244912058369/hwX04l3a_normal.jpg"
"Surazeus","Cartographer. Epic Poet. Hermead epic poem about Philosophers 126,680 lines of blank verse. https://t.co/8cDNPHbmYH | https://t.co/xlLOodp1zh",11141,1588,26261,4353,"https://t.co/fuTNYtE7DV","Surazeus",2008-06-22 13:49:10,FALSE,FALSE,"Surazeus","Columbus, GA","en","15197506",98,FALSE,"http://pbs.twimg.com/profile_images/1084276605365702657/uy8tRAPn_normal.jpg"
"RdeLIKAcowGIRL","Cowboys Nation<U+27B0> MullahGang ™<U+0001F47C><U+0001F3FD><U+0001F499> MemphisMade<U+303D><U+FE0F>TexasLiving<U+0001F918><U+0001F3FD>LLDP<U+0001F47C><U+0001F3FD>",112955,3592,4238,1927,"https://t.co/iBxNiulOJN","•FlyyyCowgirl•",2011-04-02 01:53:05,FALSE,FALSE,"RdeLIKAcowGIRL","PressBox With Jerry Jones","en","275810644",11,FALSE,"http://pbs.twimg.com/profile_images/1100980435813830656/34O3CWIr_normal.jpg"
"scadatlplaylist","SCAD Atlanta Radio makes student-produced, non-commercial radio available to listeners on campus and all over the globe via mp3 stream.",1331447,1472,1,0,"http://t.co/qL2SlEEZNX","SCAD Atlanta Radio Playlist",2010-11-02 05:50:14,FALSE,FALSE,"scadatlplaylist","SCAD Atlanta","en","211061681",58,FALSE,"http://pbs.twimg.com/profile_images/1160495357/SCAD-Atlanta_Radio_normal.png"
"omadi_casserole","Just ya regular, schmegular, degular bxch. <U+0001F1E9><U+0001F1F4><U+0001F1ED><U+0001F1F3> she/her they/them",685,75,2113,125,NA,"omadi<U+0001F33B>",2016-07-21 01:36:31,FALSE,FALSE,"omadi_casserole","Washington, DC","en","755939478326349824",0,FALSE,"http://pbs.twimg.com/profile_images/1103814735709925377/5h7T2kbl_normal.jpg"
"ifighted","all about our boy @RafaelNadal",28565,969,75568,168,NA,"ifighted",2016-01-03 21:07:56,FALSE,FALSE,"ifighted","Washington, DC","en","4705225189",20,FALSE,"http://pbs.twimg.com/profile_images/820528257791442944/I2Lcsp6F_normal.jpg"
"PewSepticRBLX","focus on the positive. retired roblox player.",6142,618,24767,369,NA,"Pew.",2016-04-20 01:03:17,FALSE,FALSE,"PewSepticRBLX","Washington, DC","en","722591432838668288",1,FALSE,"http://pbs.twimg.com/profile_images/1097036427496439809/3mLS9ZAk_normal.jpg"
"EverydayHealth","Everyday Health is here to help you take better care of yourself & your family through powerful weight-loss tools, expert advice & health news and information.",125366,548092,10232,4870,"http://t.co/xuVHGqnRg9","Everyday Health",2008-11-14 19:35:49,FALSE,TRUE,"EverydayHealth","United States","en","17393790",5426,FALSE,"http://pbs.twimg.com/profile_images/971859455066374144/ukJp1vOk_normal.jpg"
"MasterZedOfN_Wh","3DS Twitch Streamer, amateur graphic artist and professional lover of ginger beer. Ace Attorney Nut.",1410,66,2371,161,"https://t.co/wn6oH4o1Ma","MasterzedofSobbleGang",2015-01-22 20:52:11,FALSE,FALSE,"MasterZedOfN_Wh","Washington, USA","en","2992581686",0,FALSE,"http://pbs.twimg.com/profile_images/1092876734746095616/2q5jp4vs_normal.jpg"
"yung_ache7","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"Kimboslyce51","<U+2764><U+FE0F>husband<U+0001F48D>Archer<U+0001F476>Stormo<U+0001F431>makeup<U+0001F484>",3800,111,12738,441,NA,"kimberlee Clements",2012-11-21 05:06:41,FALSE,FALSE,"Kimboslyce51","Missouri, USA","en","961788872",0,FALSE,"http://pbs.twimg.com/profile_images/1060611682316234755/53OqRj71_normal.jpg"
"BreezyHuizy","Latinx <U+0001F1F2><U+0001F1FD> - they/them - queer <U+0001F3F3><U+FE0F><U+200D><U+0001F308>",12671,394,55417,395,NA,"Chillona Malcriada <U+0001F319>",2017-01-24 20:17:09,FALSE,FALSE,"BreezyHuizy","Boulder, CO","en","823988029043838976",5,FALSE,"http://pbs.twimg.com/profile_images/1001471932217180160/9DgNZAQ6_normal.jpg"
"Shelbiplay2much","Destiney<U+2763>Memphis 2 ATL. IG @Shelbiplay2much",76122,2710,12550,822,NA,"Shelbi Janae<U+0001F48B>",2009-12-07 01:10:56,FALSE,FALSE,"Shelbiplay2much","","en","95107172",3,FALSE,"http://pbs.twimg.com/profile_images/1097286906155548677/2H5hcJkW_normal.jpg"
"yung_ache8","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"yung_ache9","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"fentanylchic","Reject decadence. Embrace hardship.",5241,231,5902,267,NA,"la petite mort",2011-04-01 02:59:54,FALSE,FALSE,"fentanylchic","Cincinnati, OH","en","275344622",1,FALSE,"http://pbs.twimg.com/profile_images/1104129366500560896/qE0vTUrX_normal.jpg"
"CincyNiccole","Punk rock makeup maven. Owner of makeup store, The Doyenne. Fact is always stranger than fiction. Fiction has to make sense.Truth however, seldom does.#MAGA",652,191,688,358,NA,"elocciNRantula",2013-07-12 14:50:25,FALSE,FALSE,"CincyNiccole","Cincinnati, OH","en","1588674164",0,FALSE,"http://pbs.twimg.com/profile_images/1075439370142957568/uPrMUo5T_normal.jpg"
"yung_ache10","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"KieferIan1","Independent Artist | Booking: KieferIanMGMT@gmail.com",46844,1184,31300,806,"https://t.co/n7fnqpBRub","KIEFER IAN",2011-11-15 02:55:24,FALSE,FALSE,"KieferIan","Indianapolis, IN","en","412749305",21,FALSE,"http://pbs.twimg.com/profile_images/1100640235032137728/P8jzYkPC_normal.jpg"
"kulipeter1","soundcloud nice boy | profile by @elenafortunee | he/him",3529,633,6475,561,"https://t.co/2xsabe2MDC","peter",2015-01-09 20:40:27,FALSE,FALSE,"kulipeter","Boston, MA","en","2970370649",2,FALSE,"http://pbs.twimg.com/profile_images/1093610805445251072/6pU0ctkX_normal.jpg"
"bucinudli_usa","Legal immigrant - US citizen.

No patience for ignorance.",14799,345,19158,353,NA,"Bootsee noodly",2009-02-15 03:00:19,FALSE,FALSE,"bucinudli_usa","USA","en","20889007",7,FALSE,"http://pbs.twimg.com/profile_images/1075575574909743104/WI6VVU87_normal.jpg"
"yung_ache11","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"yung_ache12","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"yung_ache13","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"TheRunUp2020","Voter",25600,163,8813,171,NA,"The Run Up 2020 <U+0001F5F3>",2015-04-18 17:52:49,FALSE,FALSE,"TheRunUp2020","Fiji","en","3162905815",7,FALSE,"http://pbs.twimg.com/profile_images/589490607027949568/09ISwyCw_normal.jpg"
"CreatorK_","Creator of things. Curator of vibes. /// Doing stuff w/ @letsshowandtell <U+0001F3B6><U+0001F4F7><U+26BD><U+FE0F> k@whoiscreatork.com",23820,879,3594,517,"https://t.co/IuXi0r3Rhw","+K",2011-03-28 19:58:14,FALSE,FALSE,"CreatorK_","Boston, MA","en","273594202",14,FALSE,"http://pbs.twimg.com/profile_images/1079975920298004481/3lvEM1hi_normal.jpg"
"bringurknapsack","independent artist",3451,1376,11080,677,"https://t.co/GJWBmDsWUx","knapsack",2016-01-31 14:36:42,FALSE,FALSE,"bringurknapsack","Chicago, IL","en","4840289827",2,FALSE,"http://pbs.twimg.com/profile_images/1098372519579537408/AN2koCAE_normal.png"
"Kalanstrauss","Alan with a K. School of the Art Institute of Chicago. Instagram: Kalanstrauss Snapchat: Kalan",21253,1259,16075,1302,"https://t.co/OcC1Qxl0kp","K A L A N  S T R A U S S",2010-05-05 23:53:02,FALSE,FALSE,"Kalanstrauss","LA/Chi","en","140611752",7,FALSE,"http://pbs.twimg.com/profile_images/1102654229863456768/GD1bg5Mb_normal.jpg"
"stephwade08","baby Sporer due 8.8.19 <U+0001F970>",24565,350,32216,79,NA,"heckin’ steph<U+0001F930><U+0001F3FC><U+0001F495>",2009-08-18 02:08:32,FALSE,FALSE,"stephwade08","Minnesota, USA","en","66565158",3,FALSE,"http://pbs.twimg.com/profile_images/1093287275532832768/HyoIgtrg_normal.jpg"
"allllicianicole","NJ|23|dental hygiene student <U+0001F9B7><U+2728>",23907,472,23709,378,NA,"Alicia <U+2741>",2012-02-16 03:21:33,FALSE,FALSE,"allllicianicole","New Jersey","en","493715062",0,FALSE,"http://pbs.twimg.com/profile_images/1022853184111489025/ypKUuOOM_normal.jpg"
"holymolerojo","Marvel, some musicals, Naruto, memes, Chicana, she/her",3809,114,8538,608,NA,"holymolerojo",2018-05-23 21:36:40,FALSE,FALSE,"holymolerojo","Passaic, NJ","en","999403763373887493",0,FALSE,"http://pbs.twimg.com/profile_images/1088315893673852928/XUCpyfgh_normal.jpg"
"Victori35619148","Retired, local government employee. Experienced the lack of common sense in government.<U+0001F1F1><U+0001F1F7>
No DMs",1195,1163,100,1638,NA,"VickyChow",2018-06-25 23:06:07,FALSE,FALSE,"Victori35619148","Midwest","en","1011385077757079552",1,FALSE,"http://pbs.twimg.com/profile_images/1099135938586992640/oeX_vo4q_normal.png"
"Presmicropenis","I have feelings too",73,18,48,389,NA,"Donald",2017-02-21 23:48:38,FALSE,FALSE,"Presmicropenis","Washington, DC","en","834188111290699776",0,FALSE,"http://pbs.twimg.com/profile_images/834189532383891457/3d6GifrS_normal.jpg"
"TweetMyClick","IttyBittyBoss",488,160,228,365,NA,"ConceitedBish",2014-10-08 18:37:15,FALSE,FALSE,"TweetMyClick","Memphis, TN","en","2816328281",1,FALSE,"http://pbs.twimg.com/profile_images/1083865232135671808/RUBxEcOg_normal.jpg"
"BTruAura","Manager/Founding Member TruAura Beauty. Getting healthier with Le-Vel",672,91,228,407,"https://t.co/wUhteBehrJ","Brenda Hubbard",2015-06-26 00:49:16,FALSE,FALSE,"BTruAura","Texas, USA","en","3256094438",0,FALSE,"http://pbs.twimg.com/profile_images/947295916058337280/DMVEn8d-_normal.jpg"
"RedRobinYum3","<U+2615><U+275D>That's what we are, not just a team, but a family. One day we might become the Justice League, but today we're Teen Titans.<U+275E>",7491,1523,559,3367,NA,"Tim Drake ®",2017-09-08 00:33:40,FALSE,FALSE,"RedRobinYum3","Gotham City, New Jersey","en","905952238262157312",5,FALSE,"http://pbs.twimg.com/profile_images/1100512799095250944/lsvLwVnE_normal.jpg"
"RachelJaeRyan","HEY BABY",650,223,5929,330,"https://t.co/Njjdmvxmzq","rachel",2012-08-13 15:45:18,FALSE,FALSE,"RachelJaeRyan","Morgantown, WV","en","755363018",0,FALSE,"http://pbs.twimg.com/profile_images/1099918587366653953/6sCiyar5_normal.jpg"
"carriehops","Injustice anywhere is still injustice everywhere.",7735,329,5771,219,NA,"Carrie Hopper",2009-09-13 17:21:06,FALSE,FALSE,"carriehops","Norman, OK","en","73927138",1,FALSE,"http://pbs.twimg.com/profile_images/1079049263915679744/DHKCjZLb_normal.jpg"
"my5pillars","Get your free account @ https://t.co/qyizW0d7vH Enjoying a balanced life, skiing, working online, my time is mine.  Bonsai and gardening.",42509,80294,451,73128,"http://t.co/UsYOLvIBd3","Joseph Kennedy",2009-09-14 17:41:58,FALSE,FALSE,"my5pillars","USA","en","74213196",1316,FALSE,"http://pbs.twimg.com/profile_images/416930165/Joe_Ski_Bum1_normal.jpg"
"YungMeri","EXECUTIVE OF MERIWETINC Student Of KTLUniversity <U+0001F47B>:MERIWETINC EMAIL: DBOSTATUS1@GMAIL.COM IG: Yungmeri",34310,701,3516,1321,"https://t.co/9MYGQsIRaN","DB0S.T.A.T.U.S™®©",2009-04-21 20:03:25,FALSE,FALSE,"YungMeri","Miami","en","34021329",15,FALSE,"http://pbs.twimg.com/profile_images/853107468943192064/RCcUIryH_normal.jpg"
"Steven36800535","<U+0001F1FA><U+0001F1F8>Riding the waves of life!! Trying to be a positive influence in the world!! Hey I said I was trying!!! <U+0001F923> laughter is important <U+0001F923> and so is surfing <U+0001F3C4>",5250,362,7875,352,NA,"CryptoSurfer",2017-12-29 02:26:42,FALSE,FALSE,"Steven36800535","Florida, USA","en","946568125641838592",0,FALSE,"http://pbs.twimg.com/profile_images/1104099286864879616/2WPCeZ9X_normal.jpg"
"Mr_fontenott","just an extremely average guy",9640,1152,11025,1025,NA,"jcb fntnt",2012-12-26 08:03:48,FALSE,FALSE,"Mr_fontenott","United States","en","1036596798",0,FALSE,"http://pbs.twimg.com/profile_images/1088210330151473152/ewBnP7ZP_normal.jpg"
"Bluee_Iceeee","21| VHS ALUMNI <U+0001F393>| Criminal Justice & Paralegal Studies Major<U+0001F4DA>| DMB<U+0001F47C><U+0001F3FE><U+0001F49A>",48735,1893,14023,1963,"https://t.co/o1s5xeYfUA","Ariel<U+0001F478><U+0001F3FE><U+2764><U+FE0F>",2012-04-02 22:39:59,FALSE,FALSE,"Bluee_Iceeee","Valdosta, GA","en","543871479",6,FALSE,"http://pbs.twimg.com/profile_images/1086467162368286720/w2IWY070_normal.jpg"
"Michelle71202","I am a Huge James Arthur and Jamie Grey fan . <U+2764><U+FE0F><U+0001F525><U+0001F618>. I want to connect with people of other countries! #JustLetLoveIn <U+0001F1FA><U+0001F1F8><U+2665><U+FE0F><U+0001F308><U+0001F31E><U+270C><U+FE0F>#JArmyFamily",4575,252,4774,249,NA,"<U+2733><U+FE0F>ChellBell88<U+2733><U+FE0F><U+0001F989>",2017-11-01 01:36:54,FALSE,FALSE,"Michelle71202","Hot Springs, AR","en","925537099352301568",0,FALSE,"http://pbs.twimg.com/profile_images/1100551499724275713/xMzDoGfQ_normal.jpg"
"ScoutingForZen","All things motoring, cycling, science, engineering, sci-fi & fantasy",7129,417,142236,5001,"https://t.co/Pe3V6g0CRz","Matthew Skwarczek",2012-02-20 17:51:37,FALSE,FALSE,"ScoutingForZen","Park Ridge, IL","en","498097810",7,FALSE,"http://pbs.twimg.com/profile_images/1004069035900841984/XpcmT2QW_normal.jpg"
"reggy_b","be a nice human.",47019,1194,10149,500,"https://t.co/ftcTtbukat","reggy b",2011-03-12 04:50:52,FALSE,FALSE,"reggy_b","New York, USA","en","264602147",4,FALSE,"http://pbs.twimg.com/profile_images/1096907937967206408/Kmv2E9ly_normal.jpg"
"patsydetroitar1","i created this at age 20 | mezzo",79,86,191,107,NA,"holy balugala",2019-02-23 02:54:27,FALSE,FALSE,"patsydetroitar1","New York, NY","en","1099140402836357120",0,FALSE,"http://pbs.twimg.com/profile_images/1100258508505780224/B3sJa8Bk_normal.jpg"
"chuckdegroat","Prof Pastoral Care & Xn Spirituality @westernsem MI | Senior Fellow @newbiginhouse | Therapist | Spiritual Director | E4 | Author Page: https://t.co/00GhbcPpOb",12814,5827,13464,649,"https://t.co/DQt8o2DhaF","c<U+043D><U+03C5>c<U+0138> degroa<U+0442>",2008-11-19 01:21:13,FALSE,FALSE,"chuckdegroat","Holland, MI","en","17476695",150,FALSE,"http://pbs.twimg.com/profile_images/849786862894026752/Xqh63xdn_normal.jpg"
"Chuckhere250","ComicPalooza !!",2332,596,612,2889,NA,"Comic Book Guy",2012-09-07 21:26:43,FALSE,FALSE,"Chuckhere250","Amherst, OH","en","809626770",3,FALSE,"http://pbs.twimg.com/profile_images/1062485995071905792/xyNdGye2_normal.jpg"
"cthlnjnrtg","dare not to care.",10837,185,4614,111,NA,"cathz<U+2728>",2017-03-31 23:48:32,FALSE,FALSE,"cthlnjnrtg","louis","en","847958824812032000",0,FALSE,"http://pbs.twimg.com/profile_images/1094928304488964096/ativz9MH_normal.jpg"
"whatitdoDK","Do what you love, and love what you do <U+1D55>¨ concertholic - craft beer queen - content consumer - spiritual - London lover
<U+10E6> Insta: whatitdodk",26824,686,34460,515,"https://t.co/MYH9aAB4el","DANIELLE <U+270C>",2013-09-07 21:17:41,FALSE,FALSE,"whatitdoDK","Chicago, IL","en","1776954001",47,FALSE,"http://pbs.twimg.com/profile_images/1100052749977374720/678PErad_normal.jpg"
"KeepinItKawaii","<U+2661> Twitch Affiliate <U+2661> Student <U+2661> Quietest Human <U+2661> Lewd <U+2661> Weeb<U+2661> ShitPosting <U+2661> Waifu with no Liafu <U+2661> @Hidd3nOW = Husbando",7886,323,62561,327,"https://t.co/z2kQQfd0IE","Kaweeby",2016-08-09 03:05:27,FALSE,FALSE,"KeepinItKawaii","California, USA","en","762847228939472901",5,FALSE,"http://pbs.twimg.com/profile_images/1063746295746125824/FO91dgDg_normal.jpg"
"SavvyLife_Mag","You don't have to be perfect to let someone love you. Like Our Fanpage: https://t.co/YDNhkDB4BR",3284,545,2,987,"http://t.co/noSl3qC7L6","Savvy Life MAG+",2013-01-05 23:20:45,FALSE,FALSE,"SavvyLife_Mag","California, USA","en","1064259158",1,FALSE,"http://pbs.twimg.com/profile_images/633036932918980608/gWfFcJ8S_normal.png"
"superSurita","Dec 26, 2006 & Feb 27, 2011 The problem is not the problem, the problem is your attitude toward the problem.",10828,407,37961,728,"https://t.co/aHd59JqNbH",":-|",2009-05-06 16:46:36,FALSE,FALSE,"superSurita","Toronto, Canada","en","38220259",8,FALSE,"http://pbs.twimg.com/profile_images/1070474090908143617/W2ROOwmr_normal.jpg"
"CamryQueen11","*Shani <U+0001F495> *Christian <U+271D> *KC *Lifeguard Instructor <U+0001F3CA><U+0001F3FE><U+200D><U+2640><U+FE0F> *Teacher Resident <U+0001F4DD> <U+0001F6B8> #ChiefsKingdom <U+2764><U+0001F49B> #ForeverRoyal <U+0001F499><U+26BE><U+FE0F> #TeamJesus #TeamUnashamed 1 <U+2665> 1 <U+2665> six!",58803,823,20536,859,NA,"Your Fav Kinder Teacher <U+0001F49C><U+0001F49B>",2009-06-12 05:47:03,FALSE,FALSE,"CamryQueen11","Kansas City, MO","en","46592248",23,FALSE,"http://pbs.twimg.com/profile_images/1065662670425243649/h4i2Lf3z_normal.jpg"
"erin_gamst","",145,58,368,61,NA,"Erin Gamst",2016-06-20 16:55:11,FALSE,FALSE,"erin_gamst","Minnesota, USA","en","744936646332690433",0,FALSE,"http://pbs.twimg.com/profile_images/1082121392546631685/UmRJgwhs_normal.jpg"
"SelectPotential","Personal style blogger, graphic designer and adventure seeker in Michigan.",16140,6352,256,290,"https://t.co/GRplQffJzq","Selective Potential",2009-04-14 18:03:12,FALSE,FALSE,"SelectPotential","Grand Rapids, MI","en","31181900",249,FALSE,"http://pbs.twimg.com/profile_images/969585936093925378/NWvNeHSu_normal.jpg"
"LaGata8484","Kate - Mom, wife, teacher, lover, friend...",1363,89,1167,234,NA,"Kate Sannicks-Lerner",2009-03-28 20:31:41,FALSE,FALSE,"LaGata8484","Philadelphia","en","27302217",1,FALSE,"http://pbs.twimg.com/profile_images/1216446183/electric_cat_normal.jpg"
"CHROMECROWNS","<U+0001F529><U+26D3>DJ | PRODUCER, (96) <U+26D3><U+0001F529>",3409,188,10630,98,"https://t.co/05Pz4TG9eu","chrome crizzzy",2010-02-14 23:26:12,FALSE,FALSE,"CHROMECROWNS","NJ/NYC","en","114307519",0,FALSE,"http://pbs.twimg.com/profile_images/1095352029235552256/TJ0236Zz_normal.jpg"
"TheEllaRomain","Fairy Queen <U+0001F9DA><U+0001F3FD><U+200D><U+2640><U+0001F451>
Author of A:AFT <U+0001F4D6>
Fashion Designer <U+0001F457>
YouTuber <U+0001F3A5>
Blogger <U+0001F4BB>
Foodie <U+0001F37D>
Professional Napper <U+0001F6CC><U+0001F3FD>
Readaholic <U+0001F4DA>",2899,295,6887,193,"https://t.co/wkv923rPT5","Issa Fairy <U+0001F9DA><U+0001F3FD><U+200D><U+2640><U+0001F451>",2017-11-26 15:34:34,FALSE,FALSE,"TheEllaRomain","Trinidad and Tobago","en-gb","934807598058098688",1,FALSE,"http://pbs.twimg.com/profile_images/1091440346494468096/SXc9EfAp_normal.jpg"
